hanyu,pinyin,日本語,correct,hsk_level,explanation,w1,w2,w3,zero_based_correct_number,
合理,he2 li3,合理的,合理的,5,,,,,1,
合同,he2 tong5,契約,契約,5,,,,,2,
合影,he2 ying3,グループ写真,グループ写真,5,,,,,3,
合作,he2 zuo4,連携,連携,5,,,,,3,
核心,he2 xin1,コア,コア,5,,,,,1,
恨,hen4,嫌い,嫌い,5,,,,,3,
横,heng2,横の,横の,5,,,,,3,
后果,hou4 guo3,余波,余波,5,,,,,2,
忽视,hu1 shi4,ネグレクト,無視する,5,,,,,3,
呼吸,hu1 xi1,ブリージング,呼吸、呼吸する,5,,,,,1,
壶,hu2,ポット,ポット,5,,,,,0,
蝴蝶,hu2 die2,蝶,蝶,5,,,,,3,
胡说,hu2 shuo1,無意味,無意味,5,,,,,3,
胡同,hu2 tong4,路地,路地,5,,,,,3,
胡须,hu2 xu1,髭,髭,5,,,,,0,
糊涂,hu2 tu5,ばかげました,ぼやけた、めちゃくちゃだ,5,,,,,1,
花生,hua1 sheng1,ピーナツ,ピーナツ、落花生,5,,,,,0,
滑冰,hua2 bing1,スケート,スケート,5,,,,,3,
划船,hua2 chuan2,ローイング,船をこぐ,5,,,,,0,
华裔,hua2 yi4,華人,華人,5,,,,,1,
话题,hua4 ti2,トピック,トピック,5,,,,,0,
化学,hua4 xue2,ケミストリー,ケミストリー,5,,,,,3,
怀念,huai2 nian4,憧れ,憧れ,5,,,,,2,
缓解,huan3 jie3,楽,楽,5,,,,,3,
幻想,huan4 xiang3,ファンタジー,ファンタジー,5,,,,,1,
慌张,huang1 zhang1,パニック,パニック,5,,,,,3,
黄瓜,huang2 gua1,胡瓜,胡瓜,5,,,,,3,
黄金,huang2 jin1,ゴールド,ゴールド,5,,,,,1,
皇帝,huang2 di4,皇帝,皇帝,5,,,,,2,
皇后,huang2 hou4,皇后,皇后,5,,,,,2,
挥,hui1,コマンド,コマンド,5,,,,,3,
灰,hui1,グレー,グレー,5,,,,,2,
灰尘,hui1 chen2,ほこり,ほこり,5,,,,,0,
灰心,hui1 xin1,落胆,落胆,5,,,,,2,
恢复,hui1 fu4,回復,回復,5,,,,,0,
汇率,hui4 lv4,為替相場,為替相場,5,,,,,1,
婚礼,hun1 li3,結婚式,結婚式,5,,,,,3,
婚姻,hun1 yin1,結婚,結婚,5,,,,,2,
活跃,huo2 yue4,アクティブ,アクティブ,5,,,,,0,
火柴,huo3 chai2,マッチ,マッチ,5,,,,,1,
伙伴,huo3 ban4,パートナー,パートナー,5,,,,,3,
基本,ji1 ben3,基本的な,基本的な,5,,,,,2,
机器,ji1 qi4,機械,機械,5,,,,,0,
激烈,ji1 lie4,激しい,激しい,5,,,,,2,
肌肉,ji1 rou4,筋肉,筋肉,5,,,,,0,
及格,ji2 ge2,パッシング,パッシング,5,,,,,1,
急忙,ji2 mang2,急いで,急いで,5,,,,,2,
集体,ji2 ti3,集合的な,集合的な,5,,,,,3,
集中,ji2 zhong1,フォーカス,フォーカス,5,,,,,2,
记录,ji4 lu4,記録,記録,5,,,,,0,
记忆,ji4 yi4,メモリ,メモリ,5,,,,,0,
计算,ji4 suan4,計算,計算,5,,,,,1,
系领带,ji4 ling3 dai4,タイ,タイ,5,,,,,3,
纪录,ji4 lu4,記録,記録,5,,,,,3,
纪律,ji4 lv4,懲戒,懲戒,5,,,,,3,
纪念,ji4 nian4,記念,記念,5,,,,,1,
寂寞,ji4 mo4,寂しい,寂しい,5,,,,,2,
家庭,jia1 ting2,家族,家族,5,,,,,0,
家务,jia1 wu4,家事,家事,5,,,,,2,
家乡,jia1 xiang1,故郷,故郷,5,,,,,1,
嘉宾,jia1 bin1,ゲスト,ゲスト,5,,,,,3,
夹子,jia1 zi5,クリップ,クリップ,5,,,,,3,
甲,jia3,鎧,1番目、鎧,5,甲乙丙丁の甲,,,,3,
假如,jia3 ru2,もし,もし,5,,,,,1,
假装,jia3 zhuang1,偽り,偽り,5,,,,,1,
嫁,jia4,結婚し,嫁に行く、嫁にやる,5,,,,,1,
价值,jia4 zhi2,値,値,5,,,,,0,
驾驶,jia4 shi3,ドライブ,操縦する,5,,,,,0,
煎,jian1,炒め,煎る(いる),5,,,,,1,
肩膀,jian1 bang3,肩,肩,5,,,,,3,
坚决,jian1 jue2,ファーム,断固とした,5,,,,,0,
坚强,jian1 qiang2,強い,強固だ、強固にする,5,,,,,3,
艰巨,jian1 ju4,難しい,困難だ、難しい,5,,,,,1,
艰苦,jian1 ku3,タフ,苦しい,5,,,,,0,
尖锐,jian1 rui4,シャープ,シャープ,5,,,,,2,
捡,jian3,拾い,拾い,5,,,,,3,
简历,jian3 li4,履歴書,略歴、履歴書,5,,,,,1,
简直,jian3 zhi2,ただ,ただ,5,,,,,2,
剪刀,jian3 dao1,はさみ,はさみ,5,,,,,0,
健身房,jian4 shen1 fang2,ジム,スポーツジム,5,,,,,2,
建立,jian4 li4,定め,定め,5,,,,,1,
建设,jian4 she4,建設,建設,5,,,,,1,
建议,jian4 yi4,提案,提案,5,,,,,2,
建筑,jian4 zhu4,建物,建物,5,,,,,3,
键盘,jian4 pan2,キーボード,キーボード,5,,,,,0,
讲究,jiang3 jiu5,絶妙な,絶妙な,5,,,,,2,
讲座,jiang3 zuo4,講義,講義,5,,,,,3,
降落,jiang4 luo4,着陸,着陸,5,,,,,1,
酱油,jiang4 you2,醤油,醤油,5,,,,,3,
浇,jiao1,注ぎ,注ぎ,5,,,,,3,
交换,jiao1 huan4,為替,為替,5,,,,,2,
交际,jiao1 ji4,通信,通信,5,,,,,3,
郊区,jiao1 qu1,近郊,近郊,5,,,,,3,
胶水,jiao1 shui3,のり,のり,5,,,,,2,
角度,jiao3 du4,角度,角度,5,,,,,3,
狡猾,jiao3 hua2,悪賢い,悪賢い,5,,,,,3,
教材,jiao4 cai2,教材,教材,5,,,,,3,
教练,jiao4 lian4,コーチ,コーチする、コーチ,5,,,,,2,
教训,jiao4 xun5,レッスン,教訓、しかる,5,,,,,0,
接触,jie1 chu4,触り,接触する,5,,,,,0,
接待,jie1 dai4,レセプション,接待する,5,,,,,3,
接近,jie1 jin4,接近,接近,5,,,,,3,
接着,jie1 zhe5,それから,それから,5,,,,,3,
阶段,jie1 duan4,相,相,5,,,,,2,
结实,jie1 shi5,強い,強い,5,,,,,2,
节,jie2,祭り,祭り,5,,,,,3,
节省,jie2 sheng3,保存,保存,5,,,,,1,
结构,jie2 gou4,構造,構造,5,,,,,0,
结合,jie2 he2,コンバイン,結合する、結びつける、結婚する,5,,,,,3,
结论,jie2 lun4,結論,結論,5,,,,,1,
结账,jie2 zhang4,チェックアウト,決算する、帳簿を締める,5,,,,,3,
解放,jie3 fang4,解放,解放,5,,,,,2,
解说员,jie3 shuo1 yuan2,ナレーター,解説者、コメンテーター,5,,,,,0,
届,jie4,目,目,5,,,,,2,
借口,jie4 kou3,言い訳,口実・言い訳、口実にする,5,,,,,3,
戒烟,jie4 yan1,喫煙をやめ,たばこをやめる、アヘンをやめる,5,,,,,3,
戒指,jie4 zhi5,リング,指輪、ring,5,,,,,0,
金属,jin1 shu3,金属,金属,5,,,,,1,
紧,jin3,タイト,タイト,5,,,,,1,
紧急,jin3 ji2,緊急,緊急,5,,,,,2,
谨慎,jin3 shen4,慎重,慎重,5,,,,,1,
进步,jin4 bu4,進捗,進捗,5,,,,,0,
进口,jin4 kou3,インポート,輸入する、入港する,5,,,,,1,
近代,jin4 dai4,近代的,近代的,5,,,,,2,
尽力,jin4 li4,試し,試し,5,,,,,1,
尽量,jin4 liang4,限り,限り,5,,,,,2,
精力,jing1 li4,エネルギー,エネルギー,5,,,,,0,
经典,jing1 dian3,クラシカル,経典,5,,,,,1,
经营,jing1 ying2,ラン,経営する、運営する,5,,,,,1,
景色,jing3 se4,景色,景色,5,,,,,3,
敬爱,jing4 ai4,尊敬と愛,尊敬と愛,5,,,,,1,
酒吧,jiu3 ba1,バー,バー,5,,,,,0,
救,jiu4,保存,救う、救い,5,,,,,0,
救护车,jiu4 hu4 che1,救急車,救急車,5,,,,,3,
舅舅,jiu4 jiu5,叔父,叔父,5,,,,,2,
居然,ju1 ran2,意外と,意外と,5,,,,,3,
桔子,ju2 zi5,オレンジ,オレンジ,5,,,,,3,
举,ju3,動き,動き,5,,,,,1,
具备,ju4 bei4,持ってい,持ってい,5,,,,,0,
具体,ju4 ti3,特定,特定,5,,,,,3,
巨大,ju4 da4,莫大,莫大,5,,,,,0,
聚会,ju4 hui4,パーティー,集まる、パーティー,5,,,,,3,
俱乐部,ju4 le4 bu4,クラブ,クラブ,5,,,,,1,
据说,ju4 shuo1,それは言われてい,聞くところによると,5,,,,,2,
捐,juan1,寄付し,義援金=義捐金(ぎえんきん)をだす、寄付する,5,,,,,2,
卷,juan3,ボリューム,巻く,5,,,,,1,
决赛,jue2 sai4,決勝,決勝,5,"《快》(kuai4)
《决》(jue2)

《决》(jue2)
《绝》(jue2)
《觉》(jue2)
《角》(jue2)",,,,2,
决心,jue2 xin1,決意,決意,5,"《快》(kuai4)
《决》(jue2)

《决》(jue2)
《绝》(jue2)
《觉》(jue2)
《角》(jue2)",,,,2,
绝对,jue2 dui4,全く,全く,5,"《决》(jue2)
《绝》(jue2)
《觉》(jue2)
《角》(jue2)",,,,3,
角色,jue2 se4,役割,役割,5,"《决》(jue2)
《绝》(jue2)
《觉》(jue2)
《角》(jue2)",,,,0,
军事,jun1 shi4,軍事的,軍事的,5,,,,,2,
均匀,jun1 yun2,制服,均等だ,5,,,,,3,
卡车,ka3 che1,トラック,トラック,5,,,,,1,
开发,kai1 fa1,開発,開発,5,,,,,1,
开放,kai1 fang4,オープン,オープン,5,,,,,3,
开幕式,kai1 mu4 shi4,オープニングセレモニー,オープニングセレモニー,5,,,,,1,
开心,kai1 xin1,ハッピー,ハッピー,5,,,,,2,
砍,kan3,カット,カット,5,,,,,0,
看不起,kan4 bu5 qi3,侮り,侮り,5,,,,,0,
看来,kan4 lai5,それはそう,それはそう,5,,,,,3,
抗议,kang4 yi4,抗議,抗議,5,,,,,0,
烤鸭,kao3 ya1,ローストダック,ローストダック(アヒルの丸焼き),5,,,,,1,
颗,ke1,スター,スター,5,,,,,3,
可见,ke3 jian4,目に見え,目に見え,5,,,,,0,
可靠,ke3 kao4,信頼性の高い,信頼性の高い,5,,,,,0,
可怕,ke3 pa4,ひどい,ひどい,5,,,,,3,
课程,ke4 cheng2,コース,コース,5,,,,,1,
克,ke4,グラム,グラム,5,,,,,2,
克服,ke4 fu2,打ち勝ち,打ち勝ち,5,,,,,1,
刻苦,ke4 ku3,勉励な,勉励な,5,,,,,1,
客观,ke4 guan1,客観,客観,5,,,,,3,
客厅,ke4 ting1,パーラー,客間、応接室,5,,,,,2,
空间,kong1 jian1,スペース,スペース,5,,,,,2,
恐怖,kong3 bu4,テロ,恐ろしい、恐怖、テロ,5,,,,,2,
空闲,kong4 xian2,遊休,暇、暇になる,5,,,,,0,
控制,kong4 zhi4,コントロール,支配する、コントロールする,5,,,,,1,
口味,kou3 wei4,味,味,5,,,,,3,
夸,kua1,自慢,自慢,5,,,,,2,
会计,kuai4 ji4,経理,経理,5,,,,,0,
矿泉水,kuang4 quan2 shui3,ミネラルウォーター,ミネラルウォーター,5,,,,,1,
辣椒,la4 jiao1,チリ,唐辛子,5,,,,,2,
蜡烛,la4 zhu2,キャンドル,ろうそく(蝋燭・蠟燭)、キャンドル,5,,,,,1,
来自,lai2 zi4,から来,から来る,5,,,,,3,
拦,lan2,バー,ふさぐ、せき止める,5,,,,,0,
烂,lan4,ロットン,腐っている,5,,,,,2,
狼,lang2,狼,狼,5,,,,,2,
劳动,lao2 dong4,労働,労働,5,,,,,0,
劳驾,lao2 jia4,失礼しました,失礼しました,5,,,,,1,
老百姓,lao3 bai3 xing4,普通の人々,普通の人々,5,,,,,0,
老板,lao3 ban3,ボス,ボス,5,,,,,0,
老实,lao3 shi5,正直な,正直な,5,,,,,1,
老鼠,lao3 shu3,マウス,マウス,5,,,,,3,
姥姥,lao3 lao5,母方の祖母,母方の祖母,5,,,,,0,
乐观,le4 guan1,楽観的,楽観的,5,,,,,1,
雷,lei2,鉱山,鉱山,5,,,,,2,
类,lei4,カテゴリ,カテゴリ,5,,,,,3,
梨,li2,梨,梨,5,,,,,0,
离婚,li2 hun1,離婚,離婚,5,,,,,0,
厘米,li2 mi3,センチ,センチ,5,,,,,2,
礼拜天,li3 bai4 tian1,日曜日,日曜日,5,,,,,0,
理论,li3 lun4,理論,理論,5,,,,,3,
理由,li3 you2,理由,理由,5,,,,,0,
粒,li4,穀物,穀物,5,,,,,2,
立方,li4 fang1,立方体,立方体,5,,,,,1,
立即,li4 ji2,直ちに,直ちに,5,,,,,1,
立刻,li4 ke4,一度に,一度に,5,,,,,1,
力量,li4 liang5,パワー,パワー,5,,,,,2,
利润,li4 run4,利益,利益,5,,,,,2,
利息,li4 xi1,関心,関心,5,,,,,2,
利益,li4 yi4,関心,関心,5,,,,,1,
利用,li4 yong4,使用,使用,5,,,,,2,
连忙,lian2 mang2,一度に,一度に,5,,,,,3,
连续剧,lian2 xu4 ju4,シリーズ,シリーズ,5,,,,,3,
联合,lian2 he2,組合,組合,5,,,,,1,
恋爱,lian4 ai4,愛,愛,5,,,,,0,
良好,liang2 hao3,良い,良い,5,,,,,3,
粮食,liang2 shi5,食べ物,食べ物,5,,,,,3,
了不起,liao3 bu5 qi3,素晴らしい,素晴らしい,5,,,,,3,
临时,lin2 shi2,一時的,一時的,5,,,,,3,
铃,ling2,ベル,ベル,5,,,,,0,
零件,ling2 jian4,パーツ,パーツ,5,,,,,2,
零钱,ling2 qian2,変更,変更,5,,,,,3,
零食,ling2 shi2,スナック,スナック,5,,,,,1,
灵活,ling2 huo2,柔軟,柔軟,5,,,,,3,
领导,ling3 dao3,リーダーシップ,リーダーシップ,5,,,,,0,
领域,ling3 yu4,フィールド,フィールド,5,,,,,2,
流传,liu2 chuan2,スプレッド,スプレッド,5,,,,,1,
浏览,liu2 lan3,ブラウズ,ブラウズ,5,,,,,3,
龙,long2,ドラゴン,ドラゴン,5,,,,,2,
漏,lou4,リーク,リーク,5,,,,,3,
露,lu4,露,露,5,,,,,1,
陆地,lu4 di4,土地,土地,5,,,,,1,
陆续,lu4 xu4,次々,次々,5,,,,,1,
录取,lu4 qu3,認め,認め,5,,,,,2,
录音,lu4 yin1,録音,録音,5,,,,,1,
轮流,lun2 liu2,替わり,替わり,5,,,,,3,
论文,lun4 wen2,論文,論文,5,,,,,2,
逻辑,luo2 ji5,ロジック,ロジック,5,,,,,3,
落后,luo4 hou4,後ろ,後ろ,5,,,,,1,
骂,ma4,呪い,呪い,5,,,,,0,
麦克风,mai4 ke4 feng1,マイクロフォン,マイクロフォン,5,,,,,0,
馒头,man2 tou5,蒸しパン,蒸しパン,5,,,,,2,
满足,man3 zu2,会い,会い,5,,,,,1,
毛,mao2,髪,髪,5,,,,,0,
毛病,mao2 bing4,欠陥,欠陥,5,,,,,3,
矛盾,mao2 dun4,矛盾,矛盾,5,,,,,2,
冒险,mao4 xian3,冒険,冒険,5,,,,,2,
贸易,mao4 yi4,トレード,トレード,5,,,,,3,
眉毛,mei2 mao5,眉,眉,5,,,,,1,
煤炭,mei2 tan4,石炭,石炭,5,,,,,2,
美术,mei3 shu4,アート,アート,5,,,,,2,
魅力,mei4 li4,魅力,魅力,5,,,,,2,
迷路,mi2 lu4,迷子になり,迷子になり,5,,,,,2,
谜语,mi2 yu3,謎,謎,5,,,,,1,
蜜蜂,mi4 feng1,蜂,蜂,5,,,,,0,
密切,mi4 qie4,近い,近い,5,,,,,2,
秘密,mi4 mi4,秘密,秘密,5,,,,,2,
秘书,mi4 shu1,秘書,秘書,5,,,,,2,
棉花,mian2 hua5,コットン,コットン,5,,,,,3,
面对,mian4 dui4,顔,顔,5,,,,,0,
面积,mian4 ji1,エリア,エリア,5,,,,,2,
面临,mian4 lin2,に直面して,に直面して,5,,,,,0,
苗条,miao2 tiao2,スリム,スリム,5,,,,,2,
描写,miao2 xie3,説明,説明,5,,,,,2,
秒,miao3,第2,第2,5,,,,,1,
民主,min2 zhu3,民主主義,民主主義,5,,,,,2,
明确,ming2 que4,明確な,明確な,5,,,,,3,
明显,ming2 xian3,明確な,明確な,5,,,,,3,
明信片,ming2 xin4 pian4,葉書,葉書,5,,,,,2,
明星,ming2 xing1,スター,スター,5,,,,,0,
名牌,ming2 pai2,有名なブランド,有名なブランド,5,,,,,0,
名片,ming2 pian4,名刺,名刺,5,,,,,1,
名胜古迹,ming2 sheng4 gu3 ji4,史跡,史跡,5,,,,,1,
命令,ming4 ling4,コマンド,コマンド,5,,,,,2,
命运,ming4 yun4,運命,運命,5,,,,,1,
摸,mo1,触れ,触れ,5,,,,,1,
模仿,mo2 fang3,真似,真似,5,,,,,3,
模糊,mo2 hu5,ぼかし,ぼかし,5,,,,,2,
摩托车,mo2 tuo1 che1,オートバイ,オートバイ,5,,,,,1,
陌生,mo4 sheng1,奇妙,奇妙,5,,,,,0,
某,mou3,一部,一部,5,,,,,0,
目标,mu4 biao1,目標,目標,5,,,,,0,
目录,mu4 lu4,ディレクトリ,ディレクトリ,5,,,,,2,
目前,mu4 qian2,現在、,現在、,5,,,,,3,
木头,mu4 tou5,木材,木材,5,,,,,0,
哪怕,na3 pa4,さえ,さえ,5,,,,,2,
难怪,nan2 guai4,不思議ではありません,不思議ではありません,5,,,,,2,
难看,nan2 kan4,醜い,醜い,5,,,,,0,
脑袋,nao3 dai4,ヘッド,ヘッド,5,,,,,1,
内科,nei4 ke1,内科,内科,5,,,,,1,
嫩,nen4,柔らかい,柔らかい,5,,,,,0,
能干,neng2 gan4,主務,主務,5,,,,,2,
能源,neng2 yuan2,エネルギー,エネルギー,5,,,,,3,
年代,nian2 dai4,一昔,一昔,5,,,,,0,
年纪,nian2 ji4,若い,若い,5,,,,,3,
念,nian4,考え,考え,5,,,,,1,
宁可,ning4 ke3,かなり,かなり,5,,,,,0,
牛仔裤,niu2 zai3 ku4,ジーンズ,ジーンズ,5,,,,,2,
浓,nong2,濃縮,濃縮,5,,,,,3,
农民,nong2 min2,農家,農家,5,,,,,2,
农业,nong2 ye4,農業,農業,5,,,,,0,
女士,nv3 shi4,さん,さん,5,,,,,3,
偶然,ou3 ran2,不慮,不慮,5,,,,,1,
拍,pai1,ビート,ビート,5,,,,,3,
排队,pai2 dui4,並び,並び,5,,,,,1,
排球,pai2 qiu2,バレーボール,バレーボール,5,,,,,0,
派,pai4,パイ,パイ,5,,,,,0,
盼望,pan4 wang4,を楽しみにして,を楽しみにして,5,,,,,0,
赔偿,pei2 chang2,賠償,賠償,5,,,,,1,
培养,pei2 yang3,列車,列車,5,,,,,1,
佩服,pei4 fu2,憧れ,憧れ,5,,,,,1,
配合,pei4 he2,座標,座標,5,,,,,1,
盆,pen2,流域,流域,5,,,,,0,
碰见,peng4 jian4,会い,会い,5,,,,,3,
披,pi1,上に置き,上に置き,5,,,,,0,
批,pi1,バッチ,バッチ,5,,,,,3,
批准,pi1 zhun3,認め,認め,5,,,,,0,
皮鞋,pi2 xie2,革の靴,革の靴,5,,,,,2,
疲劳,pi2 lao2,疲労,疲労,5,,,,,1,
匹,pi3,試合,試合,5,,,,,2,
片,pian4,シート,シート,5,,,,,3,
片面,pian4 mian4,一方的,一方的,5,,,,,0,
飘,piao1,フロート,フロート,5,,,,,1,
频道,pin2 dao4,チャンネル,チャンネル,5,,,,,0,
品种,pin3 zhong3,繁殖,繁殖,5,,,,,1,
凭,ping2,基づき,基づき,5,,,,,3,
平,ping2,フラット,フラット,5,,,,,3,
平常,ping2 chang2,通常,通常,5,,,,,1,
平等,ping2 deng3,平等,平等,5,,,,,0,
平方,ping2 fang1,広場,広場,5,,,,,3,
平衡,ping2 heng2,バランス,バランス,5,,,,,0,
平静,ping2 jing4,穏やか,穏やか,5,,,,,3,
平均,ping2 jun1,平均,平均,5,,,,,1,
评价,ping2 jia4,評価し,評価し,5,,,,,0,
破产,po4 chan3,バスト,バスト,5,,,,,1,
破坏,po4 huai4,ダメージ,ダメージ,5,,,,,1,
迫切,po4 qie4,緊急,緊急,5,,,,,1,
朴素,pu3 su4,シンプル,シンプル,5,,,,,0,
期待,qi1 dai4,を楽しみにして,を楽しみにして,5,,,,,0,
期间,qi1 jian1,期間,期間,5,,,,,3,
其余,qi2 yu2,他人,他人,5,,,,,0,
奇迹,qi2 ji4,奇跡,奇跡,5,,,,,1,
启发,qi3 fa1,インスパイア,インスパイア,5,,,,,0,
企图,qi3 tu2,試み,試み,5,,,,,3,
企业,qi3 ye4,ビジネス,ビジネス,5,,,,,1,
气氛,qi4 fen1,雰囲気,雰囲気,5,,,,,2,
汽油,qi4 you2,ガソリン,ガソリン,5,,,,,2,
牵,qian1,引き,引き,5,,,,,0,
谦虚,qian1 xu1,モデスト,モデスト,5,,,,,3,
签字,qian1 zi4,署名,署名,5,,,,,1,
前途,qian2 tu2,未来,未来,5,,,,,1,
浅,qian3,浅い,浅い,5,,,,,2,
欠,qian4,負い,負い,5,,,,,1,
枪,qiang1,銃,銃,5,,,,,2,
强调,qiang2 diao4,強調する,強調する,5,,,,,1,
强烈,qiang2 lie4,強い,強い,5,,,,,1,
抢,qiang3,掴み,掴み,5,,,,,3,
悄悄,qiao1 qiao1,静かに,静かに,5,,,,,0,
瞧,qiao2,見,見,5,,,,,2,
巧妙,qiao3 miao4,賢い,賢い,5,,,,,3,
切,qie1,カット,カット,5,,,,,1,
亲爱,qin1 ai4,懐かしい,懐かしい,5,,,,,2,
亲切,qin1 qie4,種類,種類,5,,,,,0,
亲自,qin1 zi4,自ら,自ら,5,,,,,1,
侵略,qin1 lve4,侵略,侵略,5,,,,,3,
勤奋,qin2 fen4,勤勉,勤勉,5,,,,,1,
勤劳,qin2 lao2,勤勉,勤勉,5,,,,,3,
青,qing1,グリーン,グリーン,5,,,,,0,
青少年,qing1 shao4 nian2,ティーンエイジャー,ティーンエイジャー,5,,,,,0,
轻视,qing1 shi4,侮辱,侮辱,5,,,,,1,
青春,qing1 chun1,若者,若者,5,,,,,2,
清淡,qing1 dan4,ライト,ライト,5,,,,,3,
情景,qing2 jing3,シーン,シーン,5,,,,,2,
情绪,qing2 xu4,気分,気分,5,,,,,3,
请求,qing3 qiu2,リクエスト,リクエスト,5,,,,,1,
庆祝,qing4 zhu4,祝い,祝い,5,,,,,3,
球迷,qiu2 mi2,ファン,ファン,5,,,,,0,
趋势,qu1 shi4,トレンド,トレンド,5,,,,,0,
娶,qu3,既婚,既婚,5,,,,,2,
取消,qu3 xiao1,キャンセル,キャンセル,5,,,,,0,
去世,qu4 shi4,死に,死に,5,,,,,3,
圈,quan1,円,円,5,,,,,3,
全面,quan2 mian4,包括的,包括的,5,,,,,0,
权力,quan2 li4,パワー,パワー,5,,,,,0,
权利,quan2 li4,右,右,5,,,,,0,
劝,quan4,アドバイス,アドバイス,5,,,,,0,
缺乏,que1 fa2,不足,不足,5,,,,,0,
确定,que4 ding4,定め,定め,5,,,,,0,
确认,que4 ren4,確かめ,確かめ,5,,,,,2,
燃烧,ran2 shao1,燃焼,燃焼,5,,,,,2,
嚷,rang3,叫び,叫び,5,,,,,1,
绕,rao4,周りに,周りに,5,,,,,2,
热爱,re4 ai4,切愛,切愛,5,,,,,1,
热烈,re4 lie4,暖かい,暖かい,5,,,,,1,
热心,re4 xin1,熱心な,熱心な,5,,,,,1,
人才,ren2 cai2,才人,才人,5,,,,,3,
人口,ren2 kou3,人口,人口,5,,,,,0,
人类,ren2 lei4,人類,人類,5,,,,,0,
人生,ren2 sheng1,生活,生活,5,,,,,3,
人事,ren2 shi4,人員,人員,5,,,,,0,
人物,ren2 wu4,フィギュア,フィギュア,5,,,,,3,
人员,ren2 yuan2,人員,人員,5,,,,,2,
忍不住,ren3 bu5 zhu4,支援することはできません,支援することはできません,5,,,,,2,
日常,ri4 chang2,日々,日々,5,,,,,3,
日程,ri4 cheng2,スケジュール,スケジュール,5,,,,,0,
日历,ri4 li4,カレンダー,カレンダー,5,,,,,2,
日期,ri4 qi1,日付,日付,5,,,,,2,
日用品,ri4 yong4 pin3,商品,商品,5,,,,,1,
融化,rong2 hua4,溶融,溶融,5,,,,,1,
荣幸,rong2 xing4,表彰,表彰,5,,,,,3,
荣誉,rong2 yu4,名誉,名誉,5,,,,,2,
如何,ru2 he2,どのように,どのように,5,,,,,1,
如今,ru2 jin1,今,今,5,,,,,1,
软件,ruan3 jian4,ソフトウェア,ソフトウェア,5,,,,,3,
弱,ruo4,弱い,弱い,5,,,,,3,
洒,sa3,撒き,撒き,5,,,,,0,
嗓子,sang3 zi5,声,声,5,,,,,2,
杀,sha1,殺し,殺し,5,,,,,2,
沙漠,sha1 mo4,砂漠,砂漠,5,,,,,0,
沙滩,sha1 tan1,砂浜,砂浜,5,,,,,2,
傻,sha3,愚か,愚か,5,,,,,0,
晒,shai4,太陽,太陽,5,,,,,1,
删除,shan1 chu2,削除,削除,5,,,,,0,
闪电,shan3 dian4,稲妻,稲妻,5,,,,,1,
善良,shan4 liang2,心優しい,心優しい,5,,,,,1,
善于,shan4 yu2,でグッド,でグッド,5,,,,,1,
扇子,shan1 zi5,ファン,ファン,5,,,,,3,
商品,shang1 pin3,商品,商品,5,,,,,1,
商业,shang1 ye4,ビジネス,ビジネス,5,,,,,1,
上当,shang4 dang4,だまさ,だまさ,5,,,,,1,
勺子,shao2 zi5,スプーン,スプーン,5,"叉子(cha1 zi) フォーク
勺子(shao2 zi5) スプーン",,,,1,
蛇,she2,蛇,蛇,5,,,,,3,
舌头,she2 tou5,舌,舌,5,,,,,0,
舍不得,she3 bu5 de5,に消極的,に消極的,5,,,,,3,
设备,she4 bei4,設備,設備,5,,,,,2,
设计,she4 ji4,デザイン,デザイン,5,,,,,2,
设施,she4 shi1,施設,施設,5,,,,,2,
射击,she4 ji1,射撃,射撃、撃つ、発射する,5,,,,,3,
摄影,she4 ying3,写真術,写真をとる、(映画を)撮影する,5,,,,,2,
伸,shen1,ストレッチ,伸ばす、伸びる,5,,,,,3,
深刻,shen1 ke4,深遠,深い、深刻だ,5,,,,,2,
身材,shen1 cai2,フィギュア,スタイル,5,,,,,0,
身份,shen1 fen4,アイデンティティ,アイデンティティ,5,,,,,3,
神话,shen2 hua4,神話,神話,5,,,,,1,
神经,shen2 jing1,神経,神経,5,,,,,0,
神秘,shen2 mi4,謎,謎,5,,,,,3,
升,sheng1,リットル,リットル,5,,,,,2,
生产,sheng1 chan3,生産し,生産し,5,,,,,2,
生动,sheng1 dong4,鮮やか,鮮やか,5,,,,,0,
声调,sheng1 diao4,トーン,トーン,5,,,,,1,
绳子,sheng2 zi5,ロープ,ロープ,5,,,,,2,
省略,sheng3 lve4,省略,省略,5,,,,,1,
胜利,sheng4 li4,勝利,勝利,5,,,,,0,
诗,shi1,詩,詩,5,,,,,2,
失眠,shi1 mian2,不眠症,不眠症,5,,,,,0,
失去,shi1 qu4,失い,失い,5,,,,,2,
失业,shi1 ye4,失業,失業,5,,,,,2,
时代,shi2 dai4,時代,時代,5,,,,,3,
时刻,shi2 ke4,時間,時間,5,,,,,1,
时髦,shi2 mao2,ファッショナブル,ファッショナブル,5,,,,,2,
时期,shi2 qi1,時間,時間,5,,,,,3,
时尚,shi2 shang4,ファッション,ファッション,5,,,,,2,
实话,shi2 hua4,真実,真実,5,,,,,2,
实践,shi2 jian4,練習,練習,5,,,,,1,
实习,shi2 xi2,練習,練習,5,,,,,1,
实现,shi2 xian4,実現,実現,5,,,,,2,
实行,shi2 xing2,インプリメント,インプリメント,5,,,,,0,
实验,shi2 yan4,実験,実験,5,,,,,2,
实用,shi2 yong4,実用的,実用的,5,,,,,2,
